name,position,team,nationality,transfermarkt_value_m,sofascore_id,photo_url
Nico Schlotterbeck,DEF,Allemagne,Allemagne,50.0,761024,
Jonathan Tah,DEF,Allemagne,Allemagne,40.0,450590,
David Raum,DEF,Allemagne,Allemagne,35.0,757029,
Benjamin Henrichs,DEF,Allemagne,Allemagne,18.0,473283,
Toni Kroos,MID,Allemagne,Allemagne,15.0,39984,
Leon Goretzka,MID,Allemagne,Allemagne,30.0,316235,
Ilkay Gündogan,MID,Allemagne,Allemagne,15.0,93494,
Robert Andrich,MID,Allemagne,Allemagne,25.0,612415,
Florian Wirtz,MID,Allemagne,Allemagne,150.0,855028,
Jamal Musiala,ATT,Allemagne,Allemagne,130.0,958823,
Kai Havertz,ATT,Allemagne,Allemagne,75.0,580498,
Leroy Sané,ATT,Allemagne,Allemagne,35.0,232460,
Thomas Müller,ATT,Allemagne,Allemagne,10.0,58358,
Niclas Füllkrug,ATT,Allemagne,Allemagne,25.0,84029,
Chris Führich,ATT,Allemagne,Allemagne,25.0,659006,
Diogo Costa,GK,Portugal,Portugal,40.0,569574,
Rui Patrício,GK,Portugal,Portugal,5.0,8218,
José Sá,GK,Portugal,Portugal,12.0,88624,
Diogo Dalot,DEF,Portugal,Portugal,40.0,597498,
Rúben Dias,DEF,Portugal,Portugal,70.0,584596,
Pepe,DEF,Portugal,Portugal,2.0,2477,
Danilo Pereira,DEF,Portugal,Portugal,8.0,151807,
Nuno Mendes,DEF,Portugal,Portugal,70.0,898651,
João Cancelo,DEF,Portugal,Portugal,30.0,201460,
Bernardo Silva,MID,Portugal,Portugal,80.0,241237,
Bruno Fernandes,MID,Portugal,Portugal,50.0,244723,
Vitinha,MID,Portugal,Portugal,70.0,880654,
João Neves,MID,Portugal,Portugal,80.0,1264882,
Rúben Neves,MID,Portugal,Portugal,30.0,289713,
Matheus Nunes,MID,Portugal,Portugal,40.0,796319,
Cristiano Ronaldo,ATT,Portugal,Portugal,15.0,8198,
Rafael Leão,ATT,Portugal,Portugal,75.0,735275,
Pedro Neto,ATT,Portugal,Portugal,60.0,698543,
Gonçalo Ramos,ATT,Portugal,Portugal,55.0,980895,
Francisco Conceição,ATT,Portugal,Portugal,40.0,1081779,
Rony,ATT,Portugal,Portugal,20.0,533785,
Erling Haaland,ATT,Norvège,Norvège,200.0,876781,
Martin Ødegaard,MID,Norvège,Norvège,110.0,312865,
Alexander Sørloth,ATT,Norvège,Norvège,35.0,323100,
Sander Berge,MID,Norvège,Norvège,30.0,539466,
Kristian Thorstvedt,MID,Norvège,Norvège,20.0,875891,
Ørjan Nyland,GK,Norvège,Norvège,3.0,127049,
Andreas Hanche-Olsen,DEF,Norvège,Norvège,8.0,619960,
Leo Östigård,DEF,Norvège,Norvège,15.0,717592,
Birger Meling,DEF,Norvège,Norvège,5.0,313741,
Fredrik Aursnes,MID,Norvège,Norvège,20.0,648073,
Antonio Nusa,ATT,Norvège,Norvège,35.0,1220631,
Mohamed Salah,ATT,Egypte,Egypte,25.0,94878,
Omar Marmoush,ATT,Egypte,Egypte,50.0,546399,
Ahmed El-Shenawy,GK,Egypte,Egypte,3.0,197041,
Mahmoud Trezeguet,ATT,Egypte,Egypte,5.0,285752,
Mostafa Mohamed,ATT,Egypte,Egypte,12.0,590249,
Ahmed Hegazi,DEF,Egypte,Egypte,3.0,185236,
Achraf Hakimi,DEF,Maroc,Maroc,65.0,440655,
Yassine Bounou,GK,Maroc,Maroc,15.0,193469,
Romain Saïss,DEF,Maroc,Maroc,5.0,193468,
Nayef Aguerd,DEF,Maroc,Maroc,20.0,452104,
Azzedine Ounahi,MID,Maroc,Maroc,20.0,895498,
Hakim Ziyech,MID,Maroc,Maroc,12.0,193473,
Youssef En-Nesyri,ATT,Maroc,Maroc,25.0,302656,
Sofiane Boufal,ATT,Maroc,Maroc,8.0,215629,
Ilias Chair,ATT,Maroc,Maroc,10.0,495213,
Soufiane Rahimi,ATT,Maroc,Maroc,15.0,693629,
Sadio Mané,ATT,Sénégal,Sénégal,15.0,103706,
Edouard Mendy,GK,Sénégal,Sénégal,10.0,234434,
Kalidou Koulibaly,DEF,Sénégal,Sénégal,12.0,152596,
Idrissa Gueye,MID,Sénégal,Sénégal,8.0,132559,
Ismaïla Sarr,ATT,Sénégal,Sénégal,20.0,492038,
Nampalys Mendy,MID,Sénégal,Sénégal,5.0,204289,
Lamine Camara,MID,Sénégal,Sénégal,25.0,1111880,
Nicolas Jackson,ATT,Sénégal,Sénégal,40.0,930165,
Pape Gueye,MID,Sénégal,Sénégal,12.0,517695,
Fodé Ballo-Touré,DEF,Sénégal,Sénégal,5.0,499703,
Simon Mignolet,GK,Belgique,Belgique,5.0,65843,
Thibaut Courtois,GK,Belgique,Belgique,20.0,75473,
Toby Alderweireld,DEF,Belgique,Belgique,3.0,47436,
Jan Vertonghen,DEF,Belgique,Belgique,3.0,38185,
Zeno Debast,DEF,Belgique,Belgique,25.0,960026,
Wout Faes,DEF,Belgique,Belgique,15.0,719609,
Timothy Castagne,DEF,Belgique,Belgique,15.0,313387,
Kevin De Bruyne,MID,Belgique,Belgique,25.0,88755,
Axel Witsel,MID,Belgique,Belgique,5.0,81681,
Youri Tielemans,MID,Belgique,Belgique,25.0,342229,
Amadou Onana,MID,Belgique,Belgique,45.0,935498,
Loïs Openda,ATT,Belgique,Belgique,50.0,826095,
Romelu Lukaku,ATT,Belgique,Belgique,15.0,46069,
Jeremy Doku,ATT,Belgique,Belgique,50.0,959908,
Johan Bakayoko,ATT,Belgique,Belgique,35.0,986960,
Leandro Trossard,ATT,Belgique,Belgique,30.0,311960,
Virgil van Dijk,DEF,Pays-Bas,Pays-Bas,20.0,139208,
Bart Verbruggen,GK,Pays-Bas,Pays-Bas,25.0,945447,
Mark Flekken,GK,Pays-Bas,Pays-Bas,10.0,184907,
Denzel Dumfries,DEF,Pays-Bas,Pays-Bas,30.0,349438,
Nathan Aké,DEF,Pays-Bas,Pays-Bas,30.0,233144,
Matthijs de Ligt,DEF,Pays-Bas,Pays-Bas,35.0,326031,
Stefan de Vrij,DEF,Pays-Bas,Pays-Bas,12.0,149907,
Daley Blind,DEF,Pays-Bas,Pays-Bas,3.0,95748,
Frenkie de Jong,MID,Pays-Bas,Pays-Bas,60.0,512088,
Ryan Gravenberch,MID,Pays-Bas,Pays-Bas,60.0,861010,
Teun Koopmeiners,MID,Pays-Bas,Pays-Bas,55.0,682765,
Tijjani Reijnders,MID,Pays-Bas,Pays-Bas,50.0,794921,
Cody Gakpo,ATT,Pays-Bas,Pays-Bas,60.0,806521,
Memphis Depay,ATT,Pays-Bas,Pays-Bas,8.0,153927,
Donyell Malen,ATT,Pays-Bas,Pays-Bas,30.0,686851,
Xavi Simons,ATT,Pays-Bas,Pays-Bas,80.0,1101459,
Brian Brobbey,ATT,Pays-Bas,Pays-Bas,35.0,939706,
Wout Weghorst,ATT,Pays-Bas,Pays-Bas,8.0,280510,
Wojciech Szczęsny,GK,Pologne,Pologne,5.0,68102,
Łukasz Skorupski,GK,Pologne,Pologne,5.0,94296,
Robert Lewandowski,ATT,Pologne,Pologne,18.0,38253,
Piotr Zieliński,MID,Pologne,Pologne,20.0,159016,
Grzegorz Krychowiak,MID,Pologne,Pologne,5.0,82990,
Jan Bednarek,DEF,Pologne,Pologne,12.0,367381,
Matty Cash,DEF,Pologne,Pologne,20.0,592897,
Sebastian Szymański,MID,Pologne,Pologne,25.0,638379,
Karol Świderski,ATT,Pologne,Pologne,12.0,504290,
Nicola Zalewski,ATT,Pologne,Pologne,18.0,934434,
Luka Modrić,MID,Croatie,Croatie,8.0,45208,
Dominik Livaković,GK,Croatie,Croatie,18.0,347588,
Ivica Ivušić,GK,Croatie,Croatie,5.0,540614,
Josip Šutalo,DEF,Croatie,Croatie,25.0,780820,
Joško Gvardiol,DEF,Croatie,Croatie,80.0,700997,
Borna Sosa,DEF,Croatie,Croatie,12.0,505823,
Dejan Lovren,DEF,Croatie,Croatie,5.0,107569,
Marcelo Brozović,MID,Croatie,Croatie,20.0,164848,
Mateo Kovačić,MID,Croatie,Croatie,25.0,182269,
Ivan Perišić,ATT,Croatie,Croatie,8.0,87450,
Ante Budimir,ATT,Croatie,Croatie,8.0,204938,
Andrej Kramarić,ATT,Croatie,Croatie,12.0,130428,
Bruno Petković,ATT,Croatie,Croatie,8.0,413574,
Luka Sučić,MID,Croatie,Croatie,30.0,896274,
Patrick Bamford,ATT,Ecosse,Ecosse,5.0,283272,
Angus Gunn,GK,Ecosse,Ecosse,5.0,312344,
Craig Gordon,GK,Ecosse,Ecosse,3.0,36513,
Andrew Robertson,DEF,Ecosse,Ecosse,20.0,234663,
Kieran Tierney,DEF,Ecosse,Ecosse,15.0,316669,
Grant Hanley,DEF,Ecosse,Ecosse,3.0,127699,
Scott McTominay,MID,Ecosse,Ecosse,30.0,460514,
Callum McGregor,MID,Ecosse,Ecosse,10.0,180736,
Ryan Christie,MID,Ecosse,Ecosse,8.0,355791,
Stuart Armstrong,MID,Ecosse,Ecosse,5.0,225046,
Che Adams,ATT,Ecosse,Ecosse,8.0,349744,
Lawrence Shankland,ATT,Ecosse,Ecosse,8.0,378477,
Ryan Fraser,ATT,Ecosse,Ecosse,5.0,216085,
Jan Oblak,GK,Autriche,Autriche,20.0,160319,
Patrick Pentz,GK,Autriche,Autriche,5.0,452527,
Philipp Lienhart,DEF,Autriche,Autriche,12.0,370870,
David Alaba,DEF,Autriche,Autriche,10.0,68286,
Maximilian Wöber,DEF,Autriche,Autriche,18.0,560700,
Stefan Posch,DEF,Autriche,Autriche,12.0,519077,
Gernot Trauner,DEF,Autriche,Autriche,8.0,372541,
Marcel Sabitzer,MID,Autriche,Autriche,20.0,246669,
Florian Grillitsch,MID,Autriche,Autriche,8.0,330753,
Nicolas Seiwald,MID,Autriche,Autriche,25.0,826453,
Romano Schmid,MID,Autriche,Autriche,15.0,729943,
Marko Arnautović,ATT,Autriche,Autriche,5.0,93285,
Christoph Baumgartner,ATT,Autriche,Autriche,25.0,661004,
Michael Gregoritsch,ATT,Autriche,Autriche,10.0,362680,
Patrick Wimmer,ATT,Autriche,Autriche,15.0,724540,
Yann Sommer,GK,Suisse,Suisse,8.0,97045,
Gregor Kobel,GK,Suisse,Suisse,25.0,633250,
Manuel Akanji,DEF,Suisse,Suisse,35.0,504495,
Fabian Schär,DEF,Suisse,Suisse,12.0,154712,
Silvan Widmer,DEF,Suisse,Suisse,10.0,210508,
Ricardo Rodríguez,DEF,Suisse,Suisse,5.0,143229,
Granit Xhaka,MID,Suisse,Suisse,15.0,90845,
Remo Freuler,MID,Suisse,Suisse,12.0,212507,
Xherdan Shaqiri,MID,Suisse,Suisse,5.0,69845,
Ruben Vargas,ATT,Suisse,Suisse,18.0,644634,
Breel Embolo,ATT,Suisse,Suisse,18.0,282563,
Noah Okafor,ATT,Suisse,Suisse,30.0,833025,
Dan Ndoye,ATT,Suisse,Suisse,25.0,811706,
Zeki Amdouni,ATT,Suisse,Suisse,15.0,908267,
Alper Yıldız,GK,Turquie,Turquie,5.0,711340,
Mert Günok,GK,Turquie,Turquie,5.0,191898,
Zeki Çelik,DEF,Turquie,Turquie,12.0,274200,
Merih Demiral,DEF,Turquie,Turquie,20.0,521788,
Çağlar Söyüncü,DEF,Turquie,Turquie,15.0,516813,
Abdülkerim Bardakcı,DEF,Turquie,Turquie,10.0,623001,
Ferdi Kadıoğlu,DEF,Turquie,Turquie,25.0,697694,
Hakan Çalhanoğlu,MID,Turquie,Turquie,35.0,142291,
Kaan Ayhan,MID,Turquie,Turquie,8.0,209291,
Salih Özcan,MID,Turquie,Turquie,12.0,624539,
Kerem Aktürkoğlu,ATT,Turquie,Turquie,15.0,645634,
Arda Güler,ATT,Turquie,Turquie,55.0,987680,
Baris Alper Yılmaz,ATT,Turquie,Turquie,15.0,735624,
Yunus Akgün,ATT,Turquie,Turquie,12.0,741289,
Serdar Dursun,ATT,Turquie,Turquie,5.0,283396,
Takehiro Tomiyasu,DEF,Japon,Japon,20.0,581098,
Eiji Kawashima,GK,Japon,Japon,2.0,71491,
Zion Suzuki,GK,Japon,Japon,15.0,1107474,
Maya Yoshida,DEF,Japon,Japon,3.0,196476,
Yuto Nagatomo,DEF,Japon,Japon,2.0,97774,
Ko Itakura,DEF,Japon,Japon,12.0,750012,
Wataru Endō,MID,Japon,Japon,18.0,544645,
Junya Itō,ATT,Japon,Japon,12.0,527832,
Daichi Kamada,MID,Japon,Japon,15.0,553095,
Kaoru Mitoma,ATT,Japon,Japon,40.0,850782,
Ritsu Dōan,ATT,Japon,Japon,20.0,472521,
Ayase Ueda,ATT,Japon,Japon,18.0,887593,
Takuma Asano,ATT,Japon,Japon,8.0,282694,
Hidemasa Morita,MID,Japon,Japon,8.0,579988,
Kim Seung-gyu,GK,Corée du Sud,Corée du Sud,3.0,200826,
Cho Hyun-woo,GK,Corée du Sud,Corée du Sud,3.0,328396,
Kim Min-jae,DEF,Corée du Sud,Corée du Sud,40.0,582901,
Kim Young-gwon,DEF,Corée du Sud,Corée du Sud,3.0,87344,
Lee Ki-je,DEF,Corée du Sud,Corée du Sud,5.0,1008032,
Son Heung-min,ATT,Corée du Sud,Corée du Sud,20.0,177003,
Lee Kang-in,MID,Corée du Sud,Corée du Sud,40.0,820707,
Hwang Hee-chan,ATT,Corée du Sud,Corée du Sud,20.0,637903,
Cho Gue-sung,ATT,Corée du Sud,Corée du Sud,10.0,908461,
Lee Jae-sung,MID,Corée du Sud,Corée du Sud,8.0,553093,
Jung Woo-young,MID,Corée du Sud,Corée du Sud,5.0,276491,
Lima,GK,Uruguay,Uruguay,5.0,193467,
Fernando Muslera,GK,Uruguay,Uruguay,3.0,42090,
José María Giménez,DEF,Uruguay,Uruguay,30.0,258428,
Diego Godín,DEF,Uruguay,Uruguay,2.0,43567,
Ronald Araújo,DEF,Uruguay,Uruguay,55.0,772669,
Martín Cáceres,DEF,Uruguay,Uruguay,2.0,53984,
Mathías Olivera,DEF,Uruguay,Uruguay,25.0,789609,
Federico Valverde,MID,Uruguay,Uruguay,80.0,775004,
Rodrigo Bentancur,MID,Uruguay,Uruguay,30.0,530545,
Manuel Ugarte,MID,Uruguay,Uruguay,55.0,946716,
Lucas Torreira,MID,Uruguay,Uruguay,12.0,285069,
Luis Suárez,ATT,Uruguay,Uruguay,5.0,23384,
Darwin Núñez,ATT,Uruguay,Uruguay,70.0,872662,
Facundo Pellistri,ATT,Uruguay,Uruguay,20.0,896342,
Brian Rodríguez,ATT,Uruguay,Uruguay,12.0,762468,
Facundo Torres,ATT,Uruguay,Uruguay,18.0,886783,
Davinson Sánchez,DEF,Colombie,Colombie,18.0,329597,
Camilo Vargas,GK,Colombie,Colombie,5.0,207698,
Daniel Muñoz,DEF,Colombie,Colombie,20.0,411428,
Yerry Mina,DEF,Colombie,Colombie,8.0,330948,
Johan Mojica,DEF,Colombie,Colombie,8.0,311461,
Wílmar Barrios,MID,Colombie,Colombie,8.0,355975,
Matheus Uribe,MID,Colombie,Colombie,10.0,324700,
Luis Díaz,ATT,Colombie,Colombie,80.0,694885,
James Rodríguez,MID,Colombie,Colombie,10.0,103614,
Duván Zapata,ATT,Colombie,Colombie,8.0,219014,
Rafael Santos Borré,ATT,Colombie,Colombie,10.0,521329,
Jhon Córdoba,ATT,Colombie,Colombie,10.0,362100,
Jhon Jáder Durán,ATT,Colombie,Colombie,50.0,1100855,
Riquelme Angulo,ATT,Colombie,Colombie,8.0,960452,
Hernán Galíndez,GK,Equateur,Equateur,3.0,298513,
Alexander Domínguez,GK,Equateur,Equateur,2.0,167421,
Piero Hincapié,DEF,Equateur,Equateur,35.0,849705,
Byron Castillo,DEF,Equateur,Equateur,8.0,550977,
Félix Torres,DEF,Equateur,Equateur,12.0,565085,
Pervis Estupiñán,DEF,Equateur,Equateur,35.0,545326,
Carlos Gruezo,MID,Equateur,Equateur,5.0,231543,
Moisés Caicedo,MID,Equateur,Equateur,80.0,849706,
Ángel Mena,ATT,Equateur,Equateur,5.0,169861,
Enner Valencia,ATT,Equateur,Equateur,5.0,193513,
Gonzalo Plata,ATT,Equateur,Equateur,15.0,714812,
Kendry Páez,MID,Equateur,Equateur,30.0,1268943,
Gustavo Alfaro,ATT,Equateur,Equateur,5.0,186043,
Miguel Almirón,MID,Paraguay,Paraguay,8.0,302479,
Antony Silva,GK,Paraguay,Paraguay,3.0,133200,
Óscar Romero,MID,Paraguay,Paraguay,5.0,216706,
Santiago Arzamendia,DEF,Paraguay,Paraguay,8.0,457571,
Gustavo Gómez,DEF,Paraguay,Paraguay,8.0,214087,
Robert Morales,ATT,Paraguay,Paraguay,5.0,465320,
Julio Enciso,ATT,Paraguay,Paraguay,15.0,1003682,
Mathías Villasanti,MID,Paraguay,Paraguay,5.0,565312,
Ayrton Preciado,ATT,Paraguay,Paraguay,5.0,503965,
Alphonso Davies,DEF,Canada,Canada,65.0,539178,
Milan Borjan,GK,Canada,Canada,3.0,229521,
Maxime Crépeau,GK,Canada,Canada,5.0,476090,
Derek Cornelius,DEF,Canada,Canada,5.0,453020,
Alistair Johnston,DEF,Canada,Canada,10.0,721946,
Steven Vitoria,DEF,Canada,Canada,3.0,152882,
Samuel Adekugbe,DEF,Canada,Canada,3.0,386765,
Stephen Eustáquio,MID,Canada,Canada,15.0,647783,
Atiba Hutchinson,MID,Canada,Canada,2.0,102095,
Jonathan Osorio,MID,Canada,Canada,5.0,254196,
Ismaël Koné,MID,Canada,Canada,20.0,1017034,
Cyle Larin,ATT,Canada,Canada,8.0,381097,
Jonathan David,ATT,Canada,Canada,55.0,700041,
Tajon Buchanan,ATT,Canada,Canada,20.0,764568,
Lucas Cavallini,ATT,Canada,Canada,5.0,353124,
Jacob Shaffelburg,ATT,Canada,Canada,5.0,817620,
Guillermo Ochoa,GK,Mexique,Mexique,3.0,89390,
Luis Malagón,GK,Mexique,Mexique,5.0,753020,
Néstor Araujo,DEF,Mexique,Mexique,5.0,226546,
César Montes,DEF,Mexique,Mexique,8.0,511568,
Jorge Sánchez,DEF,Mexique,Mexique,8.0,575390,
Gerardo Arteaga,DEF,Mexique,Mexique,8.0,671034,
Edson Álvarez,MID,Mexique,Mexique,30.0,472592,
Héctor Herrera,MID,Mexique,Mexique,5.0,122949,
Roberto Alvarado,MID,Mexique,Mexique,10.0,581534,
Hirving Lozano,ATT,Mexique,Mexique,15.0,404843,
Raúl Jiménez,ATT,Mexique,Mexique,8.0,211872,
Henry Martín,ATT,Mexique,Mexique,5.0,296459,
Alexis Vega,ATT,Mexique,Mexique,8.0,528619,
Santiago Giménez,ATT,Mexique,Mexique,40.0,866613,
Matt Turner,GK,Etats-Unis,Etats-Unis,8.0,528638,
Zack Steffen,GK,Etats-Unis,Etats-Unis,5.0,346975,
Sergiño Dest,DEF,Etats-Unis,Etats-Unis,15.0,650919,
Miles Robinson,DEF,Etats-Unis,Etats-Unis,8.0,598218,
Walker Zimmerman,DEF,Etats-Unis,Etats-Unis,5.0,404818,
Tim Ream,DEF,Etats-Unis,Etats-Unis,3.0,143685,
DeAndre Yedlin,DEF,Etats-Unis,Etats-Unis,3.0,261481,
Tyler Adams,MID,Etats-Unis,Etats-Unis,20.0,664975,
Yunus Musah,MID,Etats-Unis,Etats-Unis,25.0,866559,
Weston McKennie,MID,Etats-Unis,Etats-Unis,20.0,511726,
Brenden Aaronson,MID,Etats-Unis,Etats-Unis,15.0,637908,
Christian Pulisic,ATT,Etats-Unis,Etats-Unis,35.0,449149,
Tim Weah,ATT,Etats-Unis,Etats-Unis,15.0,648906,
Ricardo Pepi,ATT,Etats-Unis,Etats-Unis,15.0,908394,
Folarin Balogun,ATT,Etats-Unis,Etats-Unis,25.0,897267,
Sébastien Haller,ATT,Côte d'Ivoire,Côte d'Ivoire,8.0,261440,
Yahia Fofana,GK,Côte d'Ivoire,Côte d'Ivoire,5.0,584694,
Serge Aurier,DEF,Côte d'Ivoire,Côte d'Ivoire,5.0,204895,
Eric Bailly,DEF,Côte d'Ivoire,Côte d'Ivoire,5.0,207543,
Simon Deli,DEF,Côte d'Ivoire,Côte d'Ivoire,3.0,259266,
Wilfried Zaha,ATT,Côte d'Ivoire,Côte d'Ivoire,8.0,196038,
Franck Kessié,MID,Côte d'Ivoire,Côte d'Ivoire,15.0,273454,
Jean-Philippe Krasso,ATT,Côte d'Ivoire,Côte d'Ivoire,5.0,441773,
Simon Adingra,ATT,Côte d'Ivoire,Côte d'Ivoire,25.0,982568,
Oumar Diakité,ATT,Côte d'Ivoire,Côte d'Ivoire,5.0,834680,
Nicolas Pépé,ATT,Côte d'Ivoire,Côte d'Ivoire,8.0,401517,
Khvicha Kvaratskhelia,ATT,Géorgie,Géorgie,80.0,824803,
Giorgi Mamardashvili,GK,Géorgie,Géorgie,30.0,769163,
Guram Kashia,DEF,Géorgie,Géorgie,3.0,145027,
Giorgi Loria,GK,Géorgie,Géorgie,2.0,132386,
Lasha Dvali,DEF,Géorgie,Géorgie,5.0,378406,
